year;region;sum_mil_tenge;grp;tax_income
2021;Акмолинская область;298031;105,6;97341
2021;Актюбинская область;223125;103,4;132602
2021;Алматинская область;427157;106,9;356147
2021;Атырауская область;77056;102,0;408220
2021;Западно-Казахстанская область;171484;97,9;109916
2021;Жамбылская область;368259;104,7;81808
2021;Карагандинская область;301625;101,2;240503
2021;Костанайская область;254902;106,3;117758
2021;Кызылординская область;290840;99,9;58323
2021;Мангистауская область;88842;101,1;168881
2021;Павлодарская область;165203;103,2;174605
2021;Северо-Казахстанская область;278066;102,5;62295
2021;Туркестанская область;757603;104,7;94732
2021;Восточно-Казахстанская область;386991;104,4;170821
2021;город Нур-Султан;207474;105,7;455273
2021;город Алматы;174336;105,6;790057
2021;город Шымкент;283948;105,7;147093
2020;Акмолинская область;269574;102,7;81405
2020;Актюбинская область;199236;99,9;110888
2020;Алматинская область;384995;98,5;276195
2020;Атырауская область;89833;102,0;371125
2020;Западно-Казахстанская область;154688;93,5;99644
2020;Жамбылская область;342712;101,1;69110
2020;Карагандинская область;260741;100,1;200037
2020;Костанайская область;254472;103,0;91803
2020;Кызылординская область;273996;89,2;51833
2020;Мангистауская область;82824;94,5;134582
2020;Павлодарская область;163617;96,9;156005
2020;Северо-Казахстанская область;231795;99,8;53782
2020;Туркестанская область;701015;104,9;74553
2020;Восточно-Казахстанская область;359416;100,6;138303
2020;город Нур-Султан;239377;101,0;332480
2020;город Алматы;282029;95,3;614011
2020;город Шымкент;240393;100,9;129586
2019;Акмолинская область;204668;102,9;65568
2019;Актюбинская область;142849;104,9;98479
2019;Алматинская область;302422;105,1;217869
2019;Атырауская область;51600;107,4;320745
2019;Западно-Казахстанская область;111139;98,5;86480
2019;Жамбылская область;261169;103,8;56120
2019;Карагандинская область;183916;105,8;159626
2019;Костанайская область;188902;104,6;70734
2019;Кызылординская область;229600;101,5;54296
2019;Мангистауская область;69577;101,2;139645
2019;Павлодарская область;136541;105,3;114576
2019;Северо-Казахстанская область;172454;102,1;39942
2019;Туркестанская область;693145;107,8;59789
2019;Восточно-Казахстанская область;279764;105,4;112035
2019;город Нур-Султан;190535;107,8;258705
2019;город Алматы;122983;104,5;434719
2019;город Шымкент;133517;103,8;91633
2018;Акмолинская область;143988;103,8;63807
2018;Актюбинская область;99957;105,3;100115
2018;Алматинская область;208700;103,1;191709
2018;Атырауская область;17091;113,3;274648
2018;Западно-Казахстанская область;74809;99,3;78407
2018;Жамбылская область;192887;103,7;51279
2018;Карагандинская область;139647;103,0;143140
2018;Костанайская область;148531;105,9;66996
2018;Кызылординская область;177480;99,9;50109
2018;Мангистауская область;25790;101,1;140027
2018;Павлодарская область;96212;106,2;111167
2018;Северо-Казахстанская область;140645;103,2;37045
2018;Туркестанская область;454342;107,7;91849
2018;Восточно-Казахстанская область;207236;104,9;101374
2018;город Нур-Султан;144537;100,2;248290
2018;город Алматы;67335;103,0;407977
2018;город Шымкент;29075;114,1;37203
2017;Акмолинская область;157966;102,4;56933
2017;Актюбинская область;106229;105,0;94547
2017;Алматинская область;230389;104,0;164947
2017;Атырауская область;27358;116,0;229851
2017;Западно-Казахстанская область;84167;103,1;73803
2017;Жамбылская область;189741;103,7;45683
2017;Карагандинская область;154506;103,7;129276
2017;Костанайская область;147525;104,6;61154
2017;Кызылординская область;164024;100,4;38020
2017;Мангистауская область;36372;99,6;124382
2017;Павлодарская область;92308;104,0;101702
2017;Северо-Казахстанская область;141183;103,1;35477
2017;Южно-Казахстанская область;465743;103,4;115388
2017;Восточно-Казахстанская область;219489;102,0;92949
2017;город Нур-Султан;225385;104,0;226698
2017;город Алматы;96829;102,8;372012
2016;Акмолинская область;131221;102,9;52553
2016;Актюбинская область;85202;101,0;84940
2016;Алматинская область;250608;101,8;132131
2016;Атырауская область;48232;103,7;203991
2016;Западно-Казахстанская область;96117;102,6;70279
2016;Жамбылская область;179566;102,6;38040
2016;Карагандинская область;115090;102,4;118435
2016;Костанайская область;128174;98,0;54224
2016;Кызылординская область;177058;95,2;37208
2016;Мангистауская область;48403;99,9;113532
2016;Павлодарская область;70563;99,4;87774
2016;Северо-Казахстанская область;128885;100,8;33690
2016;Южно-Казахстанская область;447860;101,9;95427
2016;Восточно-Казахстанская область;197397;102,2;85691
2016;город Нур-Султан;190220;102,4;200715
2016;город Алматы;149552;102,6;338746
2015;Акмолинская область;110757;101,9;45953
2015;Актюбинская область;58418;96,9;80296
2015;Алматинская область;192838;104,2;126341
2015;Атырауская область;23422;102,8;155701
2015;Западно-Казахстанская область;75087;99,4;57643
2015;Жамбылская область;157064;100,2;41863
2015;Карагандинская область;94090;102,7;112011
2015;Костанайская область;104927;96,4;50308
2015;Кызылординская область;135832;95,9;32665
2015;Мангистауская область;35451;100,1;106577
2015;Павлодарская область;55739;100,3;75781
2015;Северо-Казахстанская область;98213;101,0;28763
2015;Южно-Казахстанская область;367798;101,4;91052
2015;Восточно-Казахстанская область;161282;100,0;74721
2015;город Нур-Султан;168300;106,4;170740
2015;город Алматы;153699;104,2;300573
2014;Акмолинская область;119819;104,7;42124
2014;Актюбинская область;81915;104,5;78851
2014;Алматинская область;238214;105,2;113340
2014;Атырауская область;39954;102,5;139662
2014;Западно-Казахстанская область;79945;105,1;57293
2014;Жамбылская область;163039;100,4;34407
2014;Карагандинская область;118492;103,2;106835
2014;Костанайская область;116929;102,2;49687
