год;область;бюджетные инвестиции, млрд.тенге;Численность населения, тыс.человек;Общий коэффициент смертности (на 1000 человек);Валовой региональный продукт, млрд.тенге;Среднемесячная заработная плата, тыс. Тенге;Объем производства промышленной продукции (товаров, услуг),  млрд. Тенге;Налоговые поступления, млрд. Тенге;Текущие целевые трансферты, млрд.тенге
2011;Акмолинская;57,5;733,2;8,72;804,7;64,4;236,4;28,5;13,6
2012;Акмолинская;59,2;731,3;8,54;799,9;75,6;270,8;67,1;19,1
2013;Акмолинская;50,6;732,7;8,00;955,6;79,1;291,6;36,4;36,1
2014;Акмолинская;56,9;735,5;7,65;1051,0;85,4;312,1;84,2;29,9
2015;Акмолинская;82,9;736,6;7,46;1121,0;89,1;335,4;45,9;34,4
2016;Акмолинская;76,1;744,3;7,37;1344,3;104,8;455,6;105,1;70,1
2017;Акмолинская;107,0;736,2;7,15;1552,7;110,7;561,2;56,9;26,2
2018;Акмолинская;56,9;738,9;7,14;1699,8;121,3;659,7;63,8;22,1
2019;Акмолинская;64,9;738,5;7,19;1933,5;140,2;791,1;65,5;58,1
2020;Акмолинская;98,5;736,7;8,60;2284,0;168,3;1040,5;81,4;73,7
2021;Акмолинская;96,2;735,5;9,61;2678,0;203,0;1138,9;97,3;89,2
2011;Актюбинская;56,8;777,4;12,09;1562,3;79,8;1253,9;59,0;7,5
2012;Актюбинская;61,5;786,3;11,80;1756,7;90,2;1316,1;129,8;13,9
2013;Актюбинская;37,3;795,8;10,95;1843,9;96,5;1285,6;71,6;24,7
2014;Актюбинская;101,8;808,9;10,19;1926,2;106,2;1243,3;157,6;29,4
2015;Актюбинская;35,6;822,5;10,02;1769,1;106,7;1014,4;80,2;26,1
2016;Актюбинская;55,0;834,7;9,91;2071,1;117,4;1291,0;169,8;57,8
2017;Актюбинская;67,3;848,4;10,04;2341,8;126,6;1597,0;94,5;14,1
2018;Актюбинская;64,0;857,7;9,96;2708,4;137,0;1965,9;100,1;12,7
2019;Актюбинская;62,9;869,6;9,91;2974,4;156,5;1856,7;98,4;48,4
2020;Актюбинская;91,4;881,6;11,57;2957,0;182,9;1595,4;110,8;59,4
2021;Актюбинская;70,9;894,3;12,91;3586,0;217,5;2247,4;132,6;75,9
2011;Алматинская;111,4;1872,8;7,33;1236,6;67,6;444,2;64,7;21,1
2012;Алматинская;139,9;1908,7;7,56;1447,7;77,3;516,4;153,1;33,4
2013;Алматинская;109,0;1946,7;6,94;1741,9;81,5;588,5;86,7;60,1
2014;Алматинская;142,5;1984,5;6,82;1910,3;89,2;553,4;226,6;63,6
2015;Алматинская;132,8;1922,1;6,70;1976,0;90,4;561,8;126,3;61,3
2016;Алматинская;127,6;1947,4;6,72;2190,0;104,9;681,8;264,2;111,0
2017;Алматинская;114,8;1994,3;6,72;2472,0;110,3;795,6;164,9;29,8
2018;Алматинская;124,9;2017,2;6,41;2795,1;115,1;892,7;191,7;22,8
2019;Алматинская;134,3;2038,9;6,48;3246,0;136,2;1009,8;217,8;102,7
2020;Алматинская;204,5;2055,7;7,84;3731,0;168,3;1246,5;276,1;141,1
2021;Алматинская;187,5;2077,9;8,56;4607,0;207,5;1500,7;356,1;180,3
2011;Атырауская;49,5;532,0;7,90;3791,5;165,9;4319,7;109,9;5,8
2012;Атырауская;48,5;542,9;7,89;3613,4;180,4;4194,5;236,2;9,6
2013;Атырауская;36,5;555,2;7,36;3977,3;192,3;4614,2;131,2;15,1
2014;Атырауская;43,7;567,8;6,91;4340,6;221,6;4915,0;279,3;23,5
2015;Атырауская;27,6;581,4;7,06;4216,7;225,1;3442,8;155,7;20,5
2016;Атырауская;38,6;594,5;6,85;5200,6;268,4;4495,4;407,9;33,9
2017;Атырауская;110,6;610,7;6,74;5947,6;264,5;5508,2;229,8;12,1
2018;Атырауская;70,4;620,6;6,55;7818,8;293,5;7077,5;274,6;5,9
2019;Атырауская;117,4;633,7;6,63;9327,2;351,1;7888,1;320,7;29,4
2020;Атырауская;160,8;645,2;7,81;7738,0;367,7;5174,8;371,1;47,0
2021;Атырауская;165,1;657,1;8,84;10628,0;406,1;8557,5;408,2;45,3
2011;ЗКО;35,5;608,2;9,69;1358,3;87,5;1480,7;37,5;9,4
2012;ЗКО;22,5;612,4;9,62;1762,7;90,7;1638,4;86,4;13,0
2013;ЗКО;28,0;617,6;9,32;1780,5;98,3;1659,6;48,8;22,5
2014;ЗКО;45,2;623,9;8,86;1987,7;108,2;1839,8;114,5;24,6
2015;ЗКО;36,2;629,9;8,67;1709,9;116,7;1302,0;57,6;29,1
2016;ЗКО;31,8;636,8;8,87;2032,6;136,6;1566,9;140,5;51,5
2017;ЗКО;53,1;642,7;8,42;2337,5;144,1;1914,5;73,8;17,7
2018;ЗКО;61,1;646,9;8,49;2790,6;153,7;2480,5;78,4;9,5
2019;ЗКО;49,8;652,3;4,45;2946,0;183,9;2392,1;86,4;42,7
2020;ЗКО;92,1;656,8;10,09;2736,0;195,4;1822,8;99,6;63,5
2021;ЗКО;76,7;661,3;11,39;3533,0;226,5;2843,1;109,9;65,6
2011;Жамбылская;35,9;1046,2;7,67;633,5;61,8;185,7;24,2;11,7
